"Product_Category","Sub_Category","Product","Unit_Price"
"Bikes","Mountain Bikes","Mountain-100 Black, 38",1125
"Bikes","Mountain Bikes","Mountain-100 Black, 42",1125
"Bikes","Mountain Bikes","Mountain-100 Black, 44",1125
"Bikes","Mountain Bikes","Mountain-100 Black, 48",1125
"Bikes","Mountain Bikes","Mountain-100 Silver, 38",1133
"Bikes","Mountain Bikes","Mountain-100 Silver, 42",1133
"Bikes","Mountain Bikes","Mountain-100 Silver, 44",1133
"Bikes","Mountain Bikes","Mountain-100 Silver, 48",1133
"Bikes","Mountain Bikes","Mountain-200 Black, 38",765
"Bikes","Mountain Bikes","Mountain-200 Black, 42",765
"Bikes","Mountain Bikes","Mountain-200 Black, 46",765
"Bikes","Mountain Bikes","Mountain-200 Silver, 38",773
"Bikes","Mountain Bikes","Mountain-200 Silver, 42",773
"Bikes","Mountain Bikes","Mountain-200 Silver, 46",773
"Bikes","Mountain Bikes","Mountain-400-W Silver, 38",256
"Bikes","Mountain Bikes","Mountain-400-W Silver, 40",256
"Bikes","Mountain Bikes","Mountain-400-W Silver, 42",256
"Bikes","Mountain Bikes","Mountain-400-W Silver, 46",256
"Bikes","Mountain Bikes","Mountain-500 Black, 40",180
"Bikes","Mountain Bikes","Mountain-500 Black, 42",180
"Bikes","Mountain Bikes","Mountain-500 Black, 44",180
"Bikes","Mountain Bikes","Mountain-500 Black, 48",180
"Bikes","Mountain Bikes","Mountain-500 Black, 52",180
"Bikes","Mountain Bikes","Mountain-500 Silver, 40",188
"Bikes","Mountain Bikes","Mountain-500 Silver, 42",188
"Bikes","Mountain Bikes","Mountain-500 Silver, 44",188
"Bikes","Mountain Bikes","Mountain-500 Silver, 48",188
"Bikes","Mountain Bikes","Mountain-500 Silver, 52",188
"Bikes","Road Bikes","Road-150 Red, 44",1193
"Bikes","Road Bikes","Road-150 Red, 48",1193
"Bikes","Road Bikes","Road-150 Red, 52",1193
"Bikes","Road Bikes","Road-150 Red, 56",1193
"Bikes","Road Bikes","Road-150 Red, 62",1193
"Bikes","Road Bikes","Road-250 Black, 44",814
"Bikes","Road Bikes","Road-250 Black, 48",814
"Bikes","Road Bikes","Road-250 Black, 52",814
"Bikes","Road Bikes","Road-250 Black, 58",814
"Bikes","Road Bikes","Road-250 Red, 44",814
"Bikes","Road Bikes","Road-250 Red, 48",814
"Bikes","Road Bikes","Road-250 Red, 52",814
"Bikes","Road Bikes","Road-250 Red, 58",814
"Bikes","Road Bikes","Road-350-W Yellow, 40",567
"Bikes","Road Bikes","Road-350-W Yellow, 42",567
"Bikes","Road Bikes","Road-350-W Yellow, 44",567
"Bikes","Road Bikes","Road-350-W Yellow, 48",567
"Bikes","Road Bikes","Road-550-W Yellow, 38",373
"Bikes","Road Bikes","Road-550-W Yellow, 40",373
"Bikes","Road Bikes","Road-550-W Yellow, 42",373
"Bikes","Road Bikes","Road-550-W Yellow, 44",373
"Bikes","Road Bikes","Road-550-W Yellow, 48",373
"Bikes","Road Bikes","Road-650 Black, 44",261
"Bikes","Road Bikes","Road-650 Black, 48",261
"Bikes","Road Bikes","Road-650 Black, 52",261
"Bikes","Road Bikes","Road-650 Black, 58",261
"Bikes","Road Bikes","Road-650 Black, 60",261
"Bikes","Road Bikes","Road-650 Black, 62",261
"Bikes","Road Bikes","Road-650 Red, 44",261
"Bikes","Road Bikes","Road-650 Red, 48",261
"Bikes","Road Bikes","Road-650 Red, 52",261
"Bikes","Road Bikes","Road-650 Red, 58",261
"Bikes","Road Bikes","Road-650 Red, 60",261
"Bikes","Road Bikes","Road-650 Red, 62",261
"Bikes","Road Bikes","Road-750 Black, 44",180
"Bikes","Road Bikes","Road-750 Black, 48",180
"Bikes","Road Bikes","Road-750 Black, 52",180
"Bikes","Road Bikes","Road-750 Black, 58",180
"Bikes","Touring Bikes","Touring-1000 Blue, 46",795
"Bikes","Touring Bikes","Touring-1000 Blue, 50",795
"Bikes","Touring Bikes","Touring-1000 Blue, 54",795
"Bikes","Touring Bikes","Touring-1000 Blue, 60",795
"Bikes","Touring Bikes","Touring-1000 Yellow, 46",795
"Bikes","Touring Bikes","Touring-1000 Yellow, 50",795
"Bikes","Touring Bikes","Touring-1000 Yellow, 54",795
"Bikes","Touring Bikes","Touring-1000 Yellow, 60",795
"Bikes","Touring Bikes","Touring-2000 Blue, 46",405
"Bikes","Touring Bikes","Touring-2000 Blue, 50",405
"Bikes","Touring Bikes","Touring-2000 Blue, 54",405
"Bikes","Touring Bikes","Touring-2000 Blue, 60",405
"Bikes","Touring Bikes","Touring-3000 Blue, 44",247
"Bikes","Touring Bikes","Touring-3000 Blue, 50",247
"Bikes","Touring Bikes","Touring-3000 Blue, 54",247
"Bikes","Touring Bikes","Touring-3000 Blue, 58",247
"Bikes","Touring Bikes","Touring-3000 Blue, 62",247
"Bikes","Touring Bikes","Touring-3000 Yellow, 44",247
"Bikes","Touring Bikes","Touring-3000 Yellow, 50",247
"Bikes","Touring Bikes","Touring-3000 Yellow, 54",247
"Bikes","Touring Bikes","Touring-3000 Yellow, 58",247
"Bikes","Touring Bikes","Touring-3000 Yellow, 62",247
